chord,pitch,onset,duration,velocity,effective_duration,is_black,desired,actual,success
A7,79,39.5,1.0,87,0.38,False,1.0,1,True
A7,78,39.65,1.0,72,0.33,False,-1.0,1,False
A7,79,39.81,1.0,89,0.31,False,1.0,1,True
A7,78,39.96,1.0,88,0.15,False,-1.0,1,False
A7,79,40.12,1.0,96,0.31,False,1.0,1,True
A7,73,40.31,1.0,79,0.35,False,-1.0,1,False
A7,69,40.47,1.0,94,0.35,False,-1.0,1,False
A7,78,41.88,1.0,94,1.41,False,1.0,1,True
A7,76,41.94,1.0,56,1.47,False,-1.0,1,False
A7,73,42.19,1.0,85,0.32,False,-1.0,1,False
A7,64,42.38,1.0,75,0.44,False,-1.0,1,False
D7,69,42.87,1.0,71,0.49,False,-1.0,1,False
D7,66,43.18,1.0,102,0.31,False,-1.0,1,False
D7,67,43.98,1.0,96,0.8,False,0.0,1,False
D7,74,44.18,1.0,80,1.01,False,1.0,1,True
D7,76,44.35,1.0,90,0.37,False,1.0,1,True
D7,79,44.54,1.0,102,0.36,False,1.0,1,True
D7,78,44.9,1.0,84,0.55,False,-1.0,1,False
D7,76,45.22,1.0,86,0.32,False,-1.0,1,False
D7,74,45.54,1.0,92,0.32,False,-1.0,1,False
D7,71,45.84,1.0,113,0.31,False,-1.0,1,False
D7,69,46.26,1.0,94,0.41,False,0.0,1,False
D7,62,46.64,1.0,31,0.38,False,-1.0,1,False
D7,66,46.94,1.0,96,0.3,False,0.0,1,False
D7,64,47.34,1.0,67,0.4,False,-1.0,1,False
D7,62,47.87,1.0,120,0.53,False,0.0,1,False
A7,57,48.23,1.0,117,0.36,False,-1.0,-1,True
A7,74,48.24,1.0,106,0.37,False,1.0,1,True
A7,76,48.61,1.0,98,0.38,False,0.0,1,False
A7,77,48.91,1.0,85,0.3,False,1.0,1,True
A7,76,48.92,1.0,56,0.31,False,-1.0,1,False
A7,77,49.28,1.0,88,0.37,False,1.0,1,True
A7,76,49.62,1.0,91,0.71,False,-1.0,1,False
